id,u_address,u_phone
161,96286 Pearson Street,849-101-9095
162,4 Miller Center,265-851-2269
163,8 Cody Drive,905-364-0778
164,41 Westport Lane,395-669-9028
165,3054 Moose Plaza,611-140-6029
166,9557 Express Parkway,660-217-1184
167,2153 Forest Parkway,579-440-6903
168,3 Brown Point,830-911-1410
169,0488 Harbort Circle,418-373-9963
170,516 Westerfield Road,723-618-4312
171,852 Reindahl Crossing,438-149-4401
172,94510 Graedel Avenue,825-213-1804
173,57 Macpherson Avenue,120-273-2592
174,5 Upham Parkway,468-128-4214
175,129 Petterle Terrace,981-445-9317
176,7 Mallory Trail,777-811-9732
177,772 Ruskin Junction,191-206-3599
178,57268 Mayfield Alley,246-296-6382
179,2 Lyons Lane,553-402-0464
180,5998 Sunbrook Plaza,425-235-3698
181,5 Victoria Hill,266-846-3412
182,24 Novick Lane,184-804-1669
183,168 Rusk Lane,491-232-8727
184,964 Barnett Street,311-831-3853
185,2 Oxford Terrace,598-790-3422
186,01 Pearson Street,487-849-5698
187,19614 Browning Lane,113-718-9569
188,61919 Mosinee Junction,612-114-7303
189,83 Shasta Street,928-856-8461
190,43 Bunker Hill Junction,643-336-8825
191,35586 Orin Pass,446-993-7869
192,55 Portage Trail,651-142-2479
193,2436 Scoville Alley,574-866-2706
194,292 Service Lane,112-640-6170
195,19 Garrison Lane,782-658-6239
196,86 Anzinger Trail,119-131-9032
197,27366 Sherman Junction,693-486-2524
198,7373 Westridge Place,885-279-6812
199,6 Grasskamp Plaza,700-431-2727
200,13920 Cottonwood Junction,591-224-9161
